,vegetarian,glutenFree,dairyFree,veryHealthy,healthScore,aggregateLikes,id,title,pricePerServing,readyInMinutes,servings,sourceUrl,Calories-Amount,Calories-PercentOfDailyNeed,Fat-Amount,Fat-PercentOfDailyNeed,Saturated Fat-Amount,Saturated Fat-PercentOfDailyNeed,Carbohydrates-Amount,Carbohydrates-PercentOfDailyNeed,Sugar-Amount,Sugar-PercentOfDailyNeed,Cholesterol-Amount,Cholesterol-PercentOfDailyNeed,Sodium-Amount,Sodium-PercentOfDailyNeed,Alcohol-Amount,Alcohol-PercentOfDailyNeed,Protein-Amount,Protein-PercentOfDailyNeed,Vitamin A-Amount,Vitamin A-PercentOfDailyNeed,Vitamin K-Amount,Vitamin K-PercentOfDailyNeed,Manganese-Amount,Manganese-PercentOfDailyNeed,Vitamin C-Amount,Vitamin C-PercentOfDailyNeed,Vitamin B6-Amount,Vitamin B6-PercentOfDailyNeed,Copper-Amount,Copper-PercentOfDailyNeed,Fiber-Amount,Fiber-PercentOfDailyNeed,Potassium-Amount,Potassium-PercentOfDailyNeed,Magnesium-Amount,Magnesium-PercentOfDailyNeed,Phosphorus-Amount,Phosphorus-PercentOfDailyNeed,Iron-Amount,Iron-PercentOfDailyNeed,Vitamin B5-Amount,Vitamin B5-PercentOfDailyNeed,Vitamin B1-Amount,Vitamin B1-PercentOfDailyNeed,Calcium-Amount,Calcium-PercentOfDailyNeed,Folate-Amount,Folate-PercentOfDailyNeed,Vitamin E-Amount,Vitamin E-PercentOfDailyNeed,Vitamin B2-Amount,Vitamin B2-PercentOfDailyNeed,Vitamin B3-Amount,Vitamin B3-PercentOfDailyNeed,Zinc-Amount,Zinc-PercentOfDailyNeed,Selenium-Amount,Selenium-PercentOfDailyNeed,Vitamin B12-Amount,Vitamin B12-PercentOfDailyNeed,Vitamin D-Amount,Vitamin D-PercentOfDailyNeed,Caffeine-Amount,Caffeine-PercentOfDailyNeed
0,True,True,False,False,11.0,15,648709,"Kale & chickpea stew with cumin, smoked paprika and lime",68.53,45,6,https://www.foodista.com/recipe/XQZSJ4W6/kale-chickpea-stew-with-cumin-smoked-paprika-and-lime,162,8.12,5g,7.82,1g,10.26,26g,8.68,6g,7.31,5mg,1.7,175mg,7.65,0.77g,4.26,3g,7.0,11921IU,238.43,70µg,67.3,0.54mg,26.92,15mg,18.69,0.37mg,18.61,0.33mg,16.53,4g,16.14,421mg,12.05,37mg,9.28,82mg,8.23,1mg,7.93,0.74mg,7.42,0.09mg,5.85,58mg,5.81,21µg,5.41,0.78mg,5.18,0.09mg,5.09,0.8mg,3.98,0.55mg,3.68,1µg,2.08,,,,,,
1,False,False,False,False,23.0,18,636558,Buttermilk Onion Rings,224.72,45,3,https://www.foodista.com/recipe/H347QHDP/buttermilk-onion-rings,3262,163.12,327g,503.68,260g,1628.67,88g,29.34,10g,11.37,78mg,26.06,1594mg,69.33,,,19g,38.39,372IU,7.45,82µg,78.36,0.89mg,44.46,3mg,3.98,0.17mg,8.34,0.26mg,13.05,3g,15.9,489mg,13.99,50mg,12.5,371mg,37.2,5mg,30.85,1mg,12.24,1mg,67.64,346mg,34.68,168µg,42.15,12mg,82.25,0.76mg,44.71,6mg,34.61,1mg,12.26,40µg,58.17,0.88µg,14.64,1µg,12.36,,
2,False,False,True,True,67.0,7,641559,Dolsot Bibimbap,765.82,45,4,http://www.foodista.com/recipe/2522ZFCV/dolsot-bibimbap,1869,93.49,40g,62.39,11g,68.91,316g,105.38,26g,29.61,255mg,85.23,1280mg,55.69,,,53g,106.42,8138IU,162.77,236µg,225.16,4mg,207.01,52mg,63.65,1mg,65.71,1mg,51.34,16g,65.33,1339mg,38.29,159mg,39.8,655mg,65.54,15mg,87.85,6mg,60.17,1mg,108.24,222mg,22.28,641µg,160.36,2mg,13.58,0.72mg,42.24,18mg,92.61,9mg,61.4,78µg,112.52,2µg,36.18,1µg,8.55,,
3,True,False,True,False,20.0,13,661121,Spicy Lemongrass Soup,293.91,45,4,https://www.foodista.com/recipe/QSNYFL4Q/spicy-lemongrass-soup,258,12.91,7g,12.07,5g,35.28,42g,14.09,6g,7.48,0.0mg,0.0,783mg,34.07,,,6g,12.35,3188IU,63.76,4µg,4.44,0.94mg,46.8,125mg,151.85,0.35mg,17.58,0.27mg,13.72,3g,12.04,537mg,15.36,56mg,14.07,154mg,15.45,2mg,15.38,0.44mg,4.45,0.13mg,8.54,45mg,4.58,57µg,14.33,1mg,10.27,0.12mg,7.28,1mg,7.74,1mg,7.62,4µg,6.94,,,,,,
4,False,False,False,False,9.0,55,633265,Bacon & Egg Toast Cups,148.31,45,2,https://www.foodista.com/recipe/P6LXBQR8/bacon-egg-toast-cups,578,28.93,41g,63.38,16g,105.85,25g,8.64,2g,3.29,480mg,160.33,796mg,34.62,,,24g,48.98,979IU,19.58,1µg,1.35,0.33mg,16.67,,,0.35mg,17.69,0.16mg,8.22,1g,5.4,304mg,8.7,31mg,7.92,342mg,34.28,3mg,22.02,2mg,22.66,0.43mg,28.93,199mg,19.91,109µg,27.3,1mg,12.1,0.68mg,40.01,4mg,21.25,2mg,16.1,54µg,78.28,1µg,20.88,2µg,17.69,,
5,False,True,True,False,0.0,61,633338,Bacon Wrapped Filet Mignon,38.96,45,4,https://www.foodista.com/recipe/XL2YFTWY/bacon-wrapped-filet-mignon,97,4.89,8g,13.68,2g,18.64,0.78g,0.26,0.02g,0.02,16mg,5.38,195mg,8.51,,,3g,6.86,,,,,0.03mg,1.4,,,0.09mg,4.64,,,,,58mg,1.67,,,39mg,3.93,,,0.15mg,1.47,0.07mg,4.37,,,,,,,0.02mg,1.32,1mg,5.29,0.38mg,2.52,5µg,7.73,0.13µg,2.23,,,,
6,False,False,False,False,27.0,700,640275,Crab Cakes Eggs Benedict,745.41,30,3,http://www.foodista.com/recipe/P53KDVS3/crab-cakes-eggs-benedict,899,44.98,58g,90.63,21g,131.55,41g,13.84,3g,3.61,394mg,131.35,2259mg,98.23,,,42g,84.27,1389IU,27.78,115µg,109.78,0.47mg,23.31,17mg,21.33,0.42mg,21.11,1mg,78.87,2g,11.72,610mg,17.46,105mg,26.49,572mg,57.21,3mg,19.56,1mg,19.3,0.33mg,22.19,184mg,18.47,146µg,36.63,2mg,17.18,0.51mg,29.88,3mg,17.73,10mg,70.11,77µg,110.63,14µg,238.12,1µg,11.12,,
7,True,True,True,False,4.0,39,716198,Tart Raspberry Sorbet with a Hint of Heat,62.12,45,6,http://foodandspice.blogspot.com/2012/07/tart-raspberry-sorbet-with-hint-of-heat.html,40,2.02,0.21g,0.32,0.01g,0.05,9g,3.28,5g,6.22,0.0mg,0.0,27mg,1.21,,,0.43g,0.85,,,2µg,2.28,0.22mg,11.05,10mg,13.16,0.02mg,1.07,0.04mg,1.8,2g,9.22,61mg,1.76,7mg,1.95,11mg,1.14,0.26mg,1.44,0.11mg,1.09,,,10mg,1.01,7µg,1.88,0.28mg,1.87,0.02mg,1.06,,,,,,,,,,,,
8,False,False,False,False,40.0,231,715573,Simple Skillet Lasagna,245.66,35,5,http://www.pinkwhen.com/skillet-lasagna/,810,40.53,45g,70.56,16g,102.97,68g,22.9,16g,17.99,108mg,36.14,1651mg,71.82,,,33g,67.34,823IU,16.47,25µg,24.0,1mg,64.09,33mg,40.76,1mg,51.04,0.87mg,43.67,8g,34.41,1450mg,41.43,118mg,29.65,431mg,43.14,6mg,38.71,1mg,18.68,1mg,71.72,198mg,19.88,68µg,17.04,4mg,28.72,0.46mg,26.97,9mg,46.82,4mg,28.96,72µg,103.67,1µg,22.85,,,,
9,False,True,True,False,0.0,19,639866,Coffee Cream Martinis,79.22,45,4,https://www.foodista.com/recipe/3LNCWRTF/coffee-cream-martinis,220,11.02,1g,2.35,0.91g,5.71,39g,13.05,37g,41.13,0.0mg,0.0,9mg,0.4,7g,40.52,0.54g,1.08,,,,,0.04mg,1.96,,,,,0.06mg,2.81,0.26g,1.04,,,6mg,1.66,13mg,1.34,0.22mg,1.25,,,,,,,,,,,,,,,,,,,,,,,3mg,1.03
