,location,month,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index
1,Afghanistan,2,5,0,2.010689655172414,38928341,1803.987,0.498
2,Afghanistan,3,892,17,40.83193548387094,38928341,1803.987,0.498
3,Afghanistan,4,24801,794,80.74000000000004,38928341,1803.987,0.498
4,Afghanistan,5,212674,4814,84.26000000000005,38928341,1803.987,0.498
5,Afghanistan,6,734634,14418,80.18266666666666,38928341,1803.987,0.498
6,Afghanistan,7,1073946,33013,78.69999999999999,38928341,1803.987,0.498
7,Afghanistan,8,1161878,41919,55.40870967741937,38928341,1803.987,0.498
8,Afghanistan,9,1163186,42914,23.520000000000014,38928341,1803.987,0.498
9,Afghanistan,10,754417,27986,33.57578947368422,38928341,1803.987,0.498
11,Albania,3,1996,78,76.04608695652175,2877800,11803.431,0.785
12,Albania,4,15102,714,86.66499999999998,2877800,11803.431,0.785
13,Albania,5,28509,973,87.42161290322579,2877800,11803.431,0.785
14,Albania,6,49447,1192,66.75599999999999,2877800,11803.431,0.785
15,Albania,7,116919,3207,60.15516129032258,2877800,11803.431,0.785
16,Albania,8,226041,6818,54.8961290322581,2877800,11803.431,0.785
17,Albania,9,346012,10184,48.334333333333326,2877800,11803.431,0.785
18,Albania,10,287925,7890,11.45263157894737,2877800,11803.431,0.785
20,Algeria,2,4,0,0.0,43851043,13913.839,0.754
21,Algeria,3,4059,276,37.48612903225806,43851043,13913.839,0.754
22,Algeria,4,66208,8767,86.15533333333333,43851043,13913.839,0.754
23,Algeria,5,206006,16698,77.56677419354835,43851043,13913.839,0.754
24,Algeria,6,333199,23335,70.55433333333333,43851043,13913.839,0.754
25,Algeria,7,657799,32422,72.54838709677418,43851043,13913.839,0.754
26,Algeria,8,1171031,42128,79.98903225806457,43851043,13913.839,0.754
27,Algeria,9,1451254,48742,75.93000000000002,43851043,13913.839,0.754
28,Algeria,10,1004439,34061,47.95578947368423,43851043,13913.839,0.754
30,Andorra,3,2428,24,27.932083333333328,77265,13878.1810969163,0.858
31,Andorra,4,18766,888,53.17966666666666,77265,13022.391422907489,0.858
32,Andorra,5,23482,1509,50.89677419354838,77265,11952.654330396475,0.858
33,Andorra,6,25420,1544,39.26033333333334,77265,10847.259334801762,0.858
34,Andorra,7,27096,1612,38.80225806451613,77265,9777.52224229075,0.858
35,Andorra,8,31133,1631,41.67000000000001,77265,8672.127246696036,0.858
36,Andorra,9,44356,1590,44.446666666666665,77265,7566.732251101322,0.858
37,Andorra,10,50895,1052,25.437894736842114,77265,6496.995158590308,0.858
38,Angola,3,35,4,57.590999999999994,32866268,5819.495,0.581
39,Angola,4,580,60,87.5293333333333,32866268,5819.495,0.581
40,Angola,5,1569,80,78.52483870967747,32866268,5819.495,0.581
41,Angola,6,4382,198,76.36166666666668,32866268,5819.495,0.581
42,Angola,7,18799,855,76.45064516129035,32866268,5819.495,0.581
43,Angola,8,56404,2523,78.18354838709679,32866268,5819.495,0.581
44,Angola,9,107519,4130,78.01,32866268,5819.495,0.581
45,Angola,10,114717,3970,72.07894736842103,32866268,5819.495,0.581
46,Anguilla,3,10,0,72.40799999999999,15002,5894.8385,0.5819567307692307
47,Anguilla,4,88,0,78.17833333333334,15002,6271.556,0.5867403846153846
48,Anguilla,5,93,0,58.60354838709681,15002,8531.861,0.6154423076923077
49,Anguilla,6,90,0,37.960000000000015,15002,10867.5095,0.6451009615384615
